sourceSequence,originalFrame,originalFilename,split,packFilename,relativePath,gtAntCountFromANTS,densityBucket,imageWidth,imageHeight,reasonFeatures
Seq0002,1,000001.jpg,train,Seq0002_000001.jpg,train/Seq0002/Seq0002_000001.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,16,000016.jpg,train,Seq0002_000016.jpg,train/Seq0002/Seq0002_000016.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|partial_or_edge_ant_candidate|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,30,000030.jpg,train,Seq0002_000030.jpg,train/Seq0002/Seq0002_000030.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|partial_or_edge_ant_candidate|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,45,000045.jpg,train,Seq0002_000045.jpg,train/Seq0002/Seq0002_000045.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|partial_or_edge_ant_candidate|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,59,000059.jpg,train,Seq0002_000059.jpg,train/Seq0002/Seq0002_000059.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|partial_or_edge_ant_candidate|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,74,000074.jpg,train,Seq0002_000074.jpg,train/Seq0002/Seq0002_000074.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,89,000089.jpg,train,Seq0002_000089.jpg,train/Seq0002/Seq0002_000089.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|partial_or_edge_ant_candidate|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,103,000103.jpg,train,Seq0002_000103.jpg,train/Seq0002/Seq0002_000103.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|partial_or_edge_ant_candidate|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,118,000118.jpg,train,Seq0002_000118.jpg,train/Seq0002/Seq0002_000118.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,132,000132.jpg,train,Seq0002_000132.jpg,train/Seq0002/Seq0002_000132.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|partial_or_edge_ant_candidate|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,147,000147.jpg,train,Seq0002_000147.jpg,train/Seq0002/Seq0002_000147.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,161,000161.jpg,train,Seq0002_000161.jpg,train/Seq0002/Seq0002_000161.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,176,000176.jpg,train,Seq0002_000176.jpg,train/Seq0002/Seq0002_000176.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,191,000191.jpg,train,Seq0002_000191.jpg,train/Seq0002/Seq0002_000191.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,205,000205.jpg,train,Seq0002_000205.jpg,train/Seq0002/Seq0002_000205.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,220,000220.jpg,train,Seq0002_000220.jpg,train/Seq0002/Seq0002_000220.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,234,000234.jpg,train,Seq0002_000234.jpg,train/Seq0002/Seq0002_000234.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,249,000249.jpg,train,Seq0002_000249.jpg,train/Seq0002/Seq0002_000249.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,263,000263.jpg,train,Seq0002_000263.jpg,train/Seq0002/Seq0002_000263.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,278,000278.jpg,train,Seq0002_000278.jpg,train/Seq0002/Seq0002_000278.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,293,000293.jpg,train,Seq0002_000293.jpg,train/Seq0002/Seq0002_000293.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,307,000307.jpg,train,Seq0002_000307.jpg,train/Seq0002/Seq0002_000307.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,322,000322.jpg,train,Seq0002_000322.jpg,train/Seq0002/Seq0002_000322.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,336,000336.jpg,train,Seq0002_000336.jpg,train/Seq0002/Seq0002_000336.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0002,351,000351.jpg,train,Seq0002_000351.jpg,train/Seq0002/Seq0002_000351.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,1,000001.jpg,train,Seq0003_000001.jpg,train/Seq0003/Seq0003_000001.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,16,000016.jpg,train,Seq0003_000016.jpg,train/Seq0003/Seq0003_000016.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,30,000030.jpg,train,Seq0003_000030.jpg,train/Seq0003/Seq0003_000030.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,45,000045.jpg,train,Seq0003_000045.jpg,train/Seq0003/Seq0003_000045.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,59,000059.jpg,train,Seq0003_000059.jpg,train/Seq0003/Seq0003_000059.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,74,000074.jpg,train,Seq0003_000074.jpg,train/Seq0003/Seq0003_000074.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,89,000089.jpg,train,Seq0003_000089.jpg,train/Seq0003/Seq0003_000089.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,103,000103.jpg,train,Seq0003_000103.jpg,train/Seq0003/Seq0003_000103.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,118,000118.jpg,train,Seq0003_000118.jpg,train/Seq0003/Seq0003_000118.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,132,000132.jpg,train,Seq0003_000132.jpg,train/Seq0003/Seq0003_000132.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,147,000147.jpg,train,Seq0003_000147.jpg,train/Seq0003/Seq0003_000147.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,161,000161.jpg,train,Seq0003_000161.jpg,train/Seq0003/Seq0003_000161.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,176,000176.jpg,train,Seq0003_000176.jpg,train/Seq0003/Seq0003_000176.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,191,000191.jpg,train,Seq0003_000191.jpg,train/Seq0003/Seq0003_000191.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_upper_center|strong_contrast|temporal_sampling
Seq0003,205,000205.jpg,train,Seq0003_000205.jpg,train/Seq0003/Seq0003_000205.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_upper_center|strong_contrast|temporal_sampling
Seq0003,220,000220.jpg,train,Seq0003_000220.jpg,train/Seq0003/Seq0003_000220.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_upper_center|strong_contrast|temporal_sampling
Seq0003,234,000234.jpg,train,Seq0003_000234.jpg,train/Seq0003/Seq0003_000234.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_upper_center|strong_contrast|temporal_sampling
Seq0003,249,000249.jpg,train,Seq0003_000249.jpg,train/Seq0003/Seq0003_000249.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,263,000263.jpg,train,Seq0003_000263.jpg,train/Seq0003/Seq0003_000263.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,278,000278.jpg,train,Seq0003_000278.jpg,train/Seq0003/Seq0003_000278.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,293,000293.jpg,train,Seq0003_000293.jpg,train/Seq0003/Seq0003_000293.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,307,000307.jpg,train,Seq0003_000307.jpg,train/Seq0003/Seq0003_000307.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,322,000322.jpg,train,Seq0003_000322.jpg,train/Seq0003/Seq0003_000322.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
Seq0003,336,000336.jpg,train,Seq0003_000336.jpg,train/Seq0003/Seq0003_000336.jpg,10,medium,1920,1080,ants_isolated_or_moderate|clean_background|density_medium|gt_count_10|indoor|large_ants|spatial_middle_center|strong_contrast|temporal_sampling
