annotation_status,bbox_scale_summary_from_historical_reference,brood_context,cotton_context,dhash64,family_id,filename,final_image_path,food_context,frame_index,historical_annotation_count_reference_only,historical_bbox_stats_reference_only,image_height,image_path,image_sha256,image_width,no_historical_labels_copied,queen_present,reflection_context,selection_reason,source,source_video,timestamp_seconds
manual_relabel_required_no_labels_created,large_ge_ant2_median_reference_from_design,False,True,0783930e073371f8,ant2_fam_01_initial_queen_brood,ant2_frame_000000_t0000-000_jpg.rf.6a638ed7ff141c5a131c28a222ae0f44.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000000_t0000-000_jpg.rf.6a638ed7ff141c5a131c28a222ae0f44.jpg,False,0,4,"{""area_max"": null, ""area_median"": null, ""area_min"": null, ""count"": 0, ""height_median"": null, ""width_median"": null}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000000_t0000-000_jpg.rf.6a638ed7ff141c5a131c28a222ae0f44.jpg,76258cfdc10ddd81c3db028a9727828bc4fdd56bcff9781a02d4f2162968504e,600,True,True,False,selected for visual diversity: queen large and mostly fully visible; nearby small workers vary slightly; early brood/food/cotton context,ant2,samples/ant2.mp4,0.0
manual_relabel_required_no_labels_created,large_ge_ant2_median_reference_from_design,False,True,07831306876371b9,ant2_fam_01_initial_queen_brood,ant2_frame_000021_t0000-701_jpg.rf.66f848fdc841c4468c97684a14a0092d.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000021_t0000-701_jpg.rf.66f848fdc841c4468c97684a14a0092d.jpg,False,21,5,"{""area_max"": null, ""area_median"": null, ""area_min"": null, ""count"": 0, ""height_median"": null, ""width_median"": null}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000021_t0000-701_jpg.rf.66f848fdc841c4468c97684a14a0092d.jpg,fddc4b110ba9d3d5a90911514b2acbb41016aea437ef3f6bfc709948a3d9ac97,600,True,True,False,selected for visual diversity: queen large and mostly fully visible; nearby small workers vary slightly; early brood/food/cotton context,ant2,samples/ant2.mp4,0.701
manual_relabel_required_no_labels_created,large_ge_ant2_median_reference_from_design,False,True,07830306876371b9,ant2_fam_01_initial_queen_brood,ant2_frame_000042_t0001-401_jpg.rf.a36b5834a343fae7c6de92229d4dd626.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000042_t0001-401_jpg.rf.a36b5834a343fae7c6de92229d4dd626.jpg,False,42,5,"{""area_max"": null, ""area_median"": null, ""area_min"": null, ""count"": 0, ""height_median"": null, ""width_median"": null}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000042_t0001-401_jpg.rf.a36b5834a343fae7c6de92229d4dd626.jpg,5f7119eee7dce344d476e5fc462c9c34eeba398cd3c73c7c6958926931db91e8,600,True,True,False,selected for visual diversity: queen large and mostly fully visible; nearby small workers vary slightly; early brood/food/cotton context,ant2,samples/ant2.mp4,1.401
manual_relabel_required_no_labels_created,medium_bridge_v2_to_ant2,False,True,07831307866771b9,ant2_fam_02_queen_worker_transition,ant2_frame_000056_t0001-868_jpg.rf.1cbf90fa3fcd5c8f127389875fbad6c4.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000056_t0001-868_jpg.rf.1cbf90fa3fcd5c8f127389875fbad6c4.jpg,False,56,4,"{""area_max"": 0.09462857142857142, ""area_median"": 0.027988095238095236, ""area_min"": 0.016295238095238095, ""count"": 4, ""height_median"": 0.13214285714285715, ""width_median"": 0.21250000000000002}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000056_t0001-868_jpg.rf.1cbf90fa3fcd5c8f127389875fbad6c4.jpg,2c60c8c57e6eba57746e0a62d58832842294e2652d6c6586ff8dcc3be9bc05a3,600,True,True,False,selected for visual diversity: medium-to-large bbox scale bridge; workers farther from queen; queen orientation remains comparable but visible workers change,ant2,samples/ant2.mp4,1.868
manual_relabel_required_no_labels_created,medium_bridge_v2_to_ant2,False,True,07072307866751b9,ant2_fam_02_queen_worker_transition,ant2_frame_000077_t0002-569_jpg.rf.7b2f20ff6a5212929d96537e27b81523.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000077_t0002-569_jpg.rf.7b2f20ff6a5212929d96537e27b81523.jpg,False,77,4,"{""area_max"": 0.09855, ""area_median"": 0.025107142857142856, ""area_min"": 0.0196, ""count"": 4, ""height_median"": 0.12714285714285714, ""width_median"": 0.1975}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000077_t0002-569_jpg.rf.7b2f20ff6a5212929d96537e27b81523.jpg,fd5baf580b339b019cdf03f2f3c580d58b36261f31146b1ebd8d6887303cb01b,600,True,True,False,selected for visual diversity: medium-to-large bbox scale bridge; workers farther from queen; queen orientation remains comparable but visible workers change,ant2,samples/ant2.mp4,2.569
manual_relabel_required_no_labels_created,large_ge_ant2_median,False,True,07032307a667d1b9,ant2_fam_02_queen_worker_transition,ant2_frame_000091_t0003-036_jpg.rf.44cd5d3798ae8d537b116d49fac4f52e.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000091_t0003-036_jpg.rf.44cd5d3798ae8d537b116d49fac4f52e.jpg,False,91,4,"{""area_max"": 0.05726694214285715, ""area_median"": 0.0341047619047619, ""area_min"": 0.024733333333333336, ""count"": 4, ""height_median"": 0.14077857142857148, ""width_median"": 0.20833333333333331}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000091_t0003-036_jpg.rf.44cd5d3798ae8d537b116d49fac4f52e.jpg,d51fe0e2e7c6a19d5d57514376047e832be91da2e0528c988723b92c6eebc9d5,600,True,True,False,selected for visual diversity: medium-to-large bbox scale bridge; workers farther from queen; queen orientation remains comparable but visible workers change,ant2,samples/ant2.mp4,3.036
manual_relabel_required_no_labels_created,large_ge_ant2_median,False,True,07830307866751b8,ant2_fam_02_queen_worker_transition,ant2_frame_000112_t0003-737_jpg.rf.adae2bf15862175313b8974d592d2459.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000112_t0003-737_jpg.rf.adae2bf15862175313b8974d592d2459.jpg,False,112,4,"{""area_max"": 0.11017142857142857, ""area_median"": 0.03172538571428572, ""area_min"": 0.022585714285714285, ""count"": 4, ""height_median"": 0.1506428571428572, ""width_median"": 0.2106}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000112_t0003-737_jpg.rf.adae2bf15862175313b8974d592d2459.jpg,e54b4d3d33ff08dcfea9c6501e3e1b65ca7f4df45bf836441b6d6e59ec82ebf4,600,True,True,False,selected for visual diversity: medium-to-large bbox scale bridge; workers farther from queen; queen orientation remains comparable but visible workers change,ant2,samples/ant2.mp4,3.737
manual_relabel_required_no_labels_created,medium_bridge_v2_to_ant2,True,True,83831307067379f8,ant2_fam_03_queen_workers_brood_food,ant2_frame_000126_t0004-204_jpg.rf.6b8da0815be50475e796ed91ea025b24.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000126_t0004-204_jpg.rf.6b8da0815be50475e796ed91ea025b24.jpg,True,126,3,"{""area_max"": 0.02935238095238095, ""area_median"": 0.028183333333333335, ""area_min"": 0.018852380952380954, ""count"": 3, ""height_median"": 0.13142857142857142, ""width_median"": 0.17833333333333334}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000126_t0004-204_jpg.rf.6b8da0815be50475e796ed91ea025b24.jpg,f435c3d5a43854cc9f20e3d7882f8c0b4cffe2cc63616e815b19bc7fd76bfbc0,600,True,True,False,selected for visual diversity: workers close to/touching queen; multiple adult counts from 3 to 6; brood/food distractors near adult ants; medium and large reference scale,ant2,samples/ant2.mp4,4.204
manual_relabel_required_no_labels_created,large_ge_ant2_median,True,True,87831307063371f8,ant2_fam_03_queen_workers_brood_food,ant2_frame_000133_t0004-438_jpg.rf.eb3ae7a968ce6e9eea48726402e856d3.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000133_t0004-438_jpg.rf.eb3ae7a968ce6e9eea48726402e856d3.jpg,True,133,5,"{""area_max"": 0.11353571428571428, ""area_median"": 0.03476428571428571, ""area_min"": 0.01965994095238096, ""count"": 5, ""height_median"": 0.18571428571428567, ""width_median"": 0.15606666666666663}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000133_t0004-438_jpg.rf.eb3ae7a968ce6e9eea48726402e856d3.jpg,038915167af83c16b8f53b5378a489b69a92ba230fa3bc535b941d5ebddd92e5,600,True,True,False,selected for visual diversity: workers close to/touching queen; multiple adult counts from 3 to 6; brood/food distractors near adult ants; medium and large reference scale,ant2,samples/ant2.mp4,4.438
manual_relabel_required_no_labels_created,large_ge_ant2_median,True,True,0f831307866351f9,ant2_fam_03_queen_workers_brood_food,ant2_frame_000161_t0005-372_jpg.rf.466084ce20be5598a63ea1bbd0c520d2.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000161_t0005-372_jpg.rf.466084ce20be5598a63ea1bbd0c520d2.jpg,True,161,4,"{""area_max"": 0.0393733785714286, ""area_median"": 0.03118803226190476, ""area_min"": 0.02346666666666667, ""count"": 4, ""height_median"": 0.17623571428571427, ""width_median"": 0.18916666666666668}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000161_t0005-372_jpg.rf.466084ce20be5598a63ea1bbd0c520d2.jpg,c323e22238016bd4e497ba589c17b9653a3ad7d99367ba8c75f7bf62d17b309b,600,True,True,False,selected for visual diversity: workers close to/touching queen; multiple adult counts from 3 to 6; brood/food distractors near adult ants; medium and large reference scale,ant2,samples/ant2.mp4,5.372
manual_relabel_required_no_labels_created,medium_bridge_v2_to_ant2,True,True,0f031307076351f9,ant2_fam_03_queen_workers_brood_food,ant2_frame_000182_t0006-072_jpg.rf.1f1bf5ee0305e5595449b9740e90ae9e.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000182_t0006-072_jpg.rf.1f1bf5ee0305e5595449b9740e90ae9e.jpg,True,182,5,"{""area_max"": 0.09819285714285712, ""area_median"": 0.022585714285714285, ""area_min"": 0.02102857142857143, ""count"": 5, ""height_median"": 0.1766285714285714, ""width_median"": 0.13666666666666666}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000182_t0006-072_jpg.rf.1f1bf5ee0305e5595449b9740e90ae9e.jpg,2c575de63f6d7cfc4710cf67f210e319675c4a8fc974193763a4763c41a092ac,600,True,True,False,selected for visual diversity: workers close to/touching queen; multiple adult counts from 3 to 6; brood/food distractors near adult ants; medium and large reference scale,ant2,samples/ant2.mp4,6.072
manual_relabel_required_no_labels_created,medium_bridge_v2_to_ant2,True,True,0b033307076351f9,ant2_fam_03_queen_workers_brood_food,ant2_frame_000203_t0006-773_jpg.rf.4e6ae3f3247bedd2711775f00306d7a9.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000203_t0006-773_jpg.rf.4e6ae3f3247bedd2711775f00306d7a9.jpg,True,203,5,"{""area_max"": 0.0800147992857143, ""area_median"": 0.026072262857142856, ""area_min"": 0.0224, ""count"": 5, ""height_median"": 0.16, ""width_median"": 0.18666666666666668}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000203_t0006-773_jpg.rf.4e6ae3f3247bedd2711775f00306d7a9.jpg,39359f8cd1c6b04961e2a7efbb189580bf14ccd5830e658b37bd7102cb094109,600,True,True,False,selected for visual diversity: workers close to/touching queen; multiple adult counts from 3 to 6; brood/food distractors near adult ants; medium and large reference scale,ant2,samples/ant2.mp4,6.773
manual_relabel_required_no_labels_created,medium_bridge_v2_to_ant2,True,True,07031307866371f9,ant2_fam_03_queen_workers_brood_food,ant2_frame_000224_t0007-474_jpg.rf.3498aa79a5968f826e1dd63b5a3f0706.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000224_t0007-474_jpg.rf.3498aa79a5968f826e1dd63b5a3f0706.jpg,True,224,5,"{""area_max"": 0.07917863833333337, ""area_median"": 0.022500000000000003, ""area_min"": 0.0144, ""count"": 5, ""height_median"": 0.16, ""width_median"": 0.19166666666666668}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000224_t0007-474_jpg.rf.3498aa79a5968f826e1dd63b5a3f0706.jpg,11b331f4ba07a0528545612f99e553bed152d9c2bbbc81a0fdd4484bc1ce580d,600,True,True,False,selected for visual diversity: workers close to/touching queen; multiple adult counts from 3 to 6; brood/food distractors near adult ants; medium and large reference scale,ant2,samples/ant2.mp4,7.474
manual_relabel_required_no_labels_created,large_ge_ant2_median,True,True,070733078763f1b9,ant2_fam_03_queen_workers_brood_food,ant2_frame_000238_t0007-941_jpg.rf.8bc910f58d0601d8d118a6ab93504bd3.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000238_t0007-941_jpg.rf.8bc910f58d0601d8d118a6ab93504bd3.jpg,True,238,5,"{""area_max"": 0.06290622, ""area_median"": 0.03516190476190476, ""area_min"": 0.018166666666666668, ""count"": 5, ""height_median"": 0.16714285714285715, ""width_median"": 0.22166666666666668}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000238_t0007-941_jpg.rf.8bc910f58d0601d8d118a6ab93504bd3.jpg,827364342c21191d25cd75b7f13818bbcac1341555382d7738908512cce8f50c,600,True,True,False,selected for visual diversity: workers close to/touching queen; multiple adult counts from 3 to 6; brood/food distractors near adult ants; medium and large reference scale,ant2,samples/ant2.mp4,7.941
manual_relabel_required_no_labels_created,medium_bridge_v2_to_ant2,True,True,0f07230726e7f278,ant2_fam_03_queen_workers_brood_food,ant2_frame_000245_t0008-174_jpg.rf.432d1f28cda5b99ebf1bb7ac806ef9f5.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000245_t0008-174_jpg.rf.432d1f28cda5b99ebf1bb7ac806ef9f5.jpg,True,245,6,"{""area_max"": 0.0777047619047619, ""area_median"": 0.02582261904761905, ""area_min"": 0.01807619047619048, ""count"": 6, ""height_median"": 0.16214285714285714, ""width_median"": 0.1725}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000245_t0008-174_jpg.rf.432d1f28cda5b99ebf1bb7ac806ef9f5.jpg,9287be44ab6feb23af0c4dbe0cfa90f9707534af3fcb806f576636c72c43ff33,600,True,True,False,selected for visual diversity: workers close to/touching queen; multiple adult counts from 3 to 6; brood/food distractors near adult ants; medium and large reference scale,ant2,samples/ant2.mp4,8.174
manual_relabel_required_no_labels_created,medium_bridge_v2_to_ant2,True,True,0f0f47174ec7e4f8,ant2_fam_03_queen_workers_brood_food,ant2_frame_000273_t0009-109_jpg.rf.4b1c040decf46efa81e82e021672bd93.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000273_t0009-109_jpg.rf.4b1c040decf46efa81e82e021672bd93.jpg,True,273,5,"{""area_max"": 0.030952380952380953, ""area_median"": 0.027414285714285717, ""area_min"": 0.016342857142857145, ""count"": 5, ""height_median"": 0.1442857142857143, ""width_median"": 0.175}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000273_t0009-109_jpg.rf.4b1c040decf46efa81e82e021672bd93.jpg,8378a04c60b226a0092fe3df9dd8c7372ea575b6ccc9e8cded7fcce7ec008b60,600,True,True,False,selected for visual diversity: workers close to/touching queen; multiple adult counts from 3 to 6; brood/food distractors near adult ants; medium and large reference scale,ant2,samples/ant2.mp4,9.109
manual_relabel_required_no_labels_created,large_ge_ant2_median,True,True,070723070667f3f8,ant2_fam_04_glare_workers,ant2_frame_000294_t0009-809_jpg.rf.5e3a3faae93421c7cba0bb4dac921fa9.jpg,datasets/ants_v3_annotation_pack/ant2/final_images/ant2_frame_000294_t0009-809_jpg.rf.5e3a3faae93421c7cba0bb4dac921fa9.jpg,True,294,5,"{""area_max"": 0.0805239, ""area_median"": 0.03302619047619047, ""area_min"": 0.010266666666666667, ""count"": 5, ""height_median"": 0.2052, ""width_median"": 0.15666666666666668}",700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000294_t0009-809_jpg.rf.5e3a3faae93421c7cba0bb4dac921fa9.jpg,cd67180e55a22ece993cd3ab88d955a91e34eda87cffc81aa0d2bb69f6152a0c,600,True,True,False,selected for visual diversity: strong local glare/reflections; workers separated from queen area; transition away from brood-heavy region,ant2,samples/ant2.mp4,9.809
