annotation_policy,bbox_scale_category_from_historical_reference,context_tags,design_existing_annotation_count_reference_only,frame_index,historical_bbox_stats_reference_only,historical_label_sha256_reference_only,image_height,image_path,image_sha256,image_width,metadata_only_notice,pack_filename,parsed_yolo_bbox_rows_from_historical_label_reference_only,selection_reason,source,source_image_path_reference_only,source_label_path_reference_only,source_video,timestamp_seconds
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",large_ge_ant2_median_reference_from_design,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",4,0,"{""area_max"": null, ""area_median"": null, ""area_min"": null, ""count"": 0, ""height_median"": null, ""width_median"": null}",d68e582a519ba01f92e81c18292877dc900d136df6cfe9c3848cf74669b1b6ee,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000000_t0000-000_jpg.rf.6a638ed7ff141c5a131c28a222ae0f44.jpg,76258cfdc10ddd81c3db028a9727828bc4fdd56bcff9781a02d4f2162968504e,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000000_t0000-000_jpg.rf.6a638ed7ff141c5a131c28a222ae0f44.jpg,0,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale""]",ant2,exported_dataset/train/images/ant2_frame_000000_t0000-000_jpg.rf.6a638ed7ff141c5a131c28a222ae0f44.jpg,exported_dataset/train/labels/ant2_frame_000000_t0000-000_jpg.rf.6a638ed7ff141c5a131c28a222ae0f44.txt,samples/ant2.mp4,0.0
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",large_ge_ant2_median_reference_from_design,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""multiple_adult_ants"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",5,14,"{""area_max"": null, ""area_median"": null, ""area_min"": null, ""count"": 0, ""height_median"": null, ""width_median"": null}",81fc0fda3ac02dbbc8b3718b6416f841d96a79343d40722e96b04b9dab2d4237,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000014_t0000-467_jpg.rf.3c6b865d00726160687fc9fa9503bbec.jpg,8c9596fe1b7ef5444a3d22e8da1759a3086eab1f348a115145425d42f100d57f,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000014_t0000-467_jpg.rf.3c6b865d00726160687fc9fa9503bbec.jpg,0,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale"", ""multiple visible ants""]",ant2,exported_dataset/train/images/ant2_frame_000014_t0000-467_jpg.rf.3c6b865d00726160687fc9fa9503bbec.jpg,exported_dataset/train/labels/ant2_frame_000014_t0000-467_jpg.rf.3c6b865d00726160687fc9fa9503bbec.txt,samples/ant2.mp4,0.467
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",large_ge_ant2_median_reference_from_design,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""multiple_adult_ants"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",5,21,"{""area_max"": null, ""area_median"": null, ""area_min"": null, ""count"": 0, ""height_median"": null, ""width_median"": null}",86b0c9bbffebb6ede2d1cb3a41e59f7ec22a0b6cbb2ee19d34fcef410edecb7e,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000021_t0000-701_jpg.rf.66f848fdc841c4468c97684a14a0092d.jpg,fddc4b110ba9d3d5a90911514b2acbb41016aea437ef3f6bfc709948a3d9ac97,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000021_t0000-701_jpg.rf.66f848fdc841c4468c97684a14a0092d.jpg,0,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale"", ""multiple visible ants""]",ant2,exported_dataset/valid/images/ant2_frame_000021_t0000-701_jpg.rf.66f848fdc841c4468c97684a14a0092d.jpg,exported_dataset/valid/labels/ant2_frame_000021_t0000-701_jpg.rf.66f848fdc841c4468c97684a14a0092d.txt,samples/ant2.mp4,0.701
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",large_ge_ant2_median_reference_from_design,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",4,35,"{""area_max"": null, ""area_median"": null, ""area_min"": null, ""count"": 0, ""height_median"": null, ""width_median"": null}",92238597e01beb8cc7947cbc902ce46725bae3c02ce83e4a92682bc6bbb27454,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000035_t0001-168_jpg.rf.ee6ea1d4bf4969594480c4a0b9cf155c.jpg,66d63b35cc4bee66dc1900bb00b5d4f58975c720d8b8f567e631edf921cdbaca,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000035_t0001-168_jpg.rf.ee6ea1d4bf4969594480c4a0b9cf155c.jpg,0,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale""]",ant2,exported_dataset/train/images/ant2_frame_000035_t0001-168_jpg.rf.ee6ea1d4bf4969594480c4a0b9cf155c.jpg,exported_dataset/train/labels/ant2_frame_000035_t0001-168_jpg.rf.ee6ea1d4bf4969594480c4a0b9cf155c.txt,samples/ant2.mp4,1.168
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",large_ge_ant2_median_reference_from_design,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""multiple_adult_ants"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",5,42,"{""area_max"": null, ""area_median"": null, ""area_min"": null, ""count"": 0, ""height_median"": null, ""width_median"": null}",8324cf837095a8495c4d5da6c6eeef0cb2908482de212b0e4db762aa99682a62,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000042_t0001-401_jpg.rf.a36b5834a343fae7c6de92229d4dd626.jpg,5f7119eee7dce344d476e5fc462c9c34eeba398cd3c73c7c6958926931db91e8,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000042_t0001-401_jpg.rf.a36b5834a343fae7c6de92229d4dd626.jpg,0,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale"", ""multiple visible ants""]",ant2,exported_dataset/train/images/ant2_frame_000042_t0001-401_jpg.rf.a36b5834a343fae7c6de92229d4dd626.jpg,exported_dataset/train/labels/ant2_frame_000042_t0001-401_jpg.rf.a36b5834a343fae7c6de92229d4dd626.txt,samples/ant2.mp4,1.401
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",medium_bridge_v2_to_ant2,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",4,56,"{""area_max"": 0.09462857142857142, ""area_median"": 0.027988095238095236, ""area_min"": 0.016295238095238095, ""count"": 4, ""height_median"": 0.13214285714285715, ""width_median"": 0.21250000000000002}",c684dc01733b0cdf3952dc7b07c50559555432bbce172087ea812e411bd78f8e,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000056_t0001-868_jpg.rf.1cbf90fa3fcd5c8f127389875fbad6c4.jpg,2c60c8c57e6eba57746e0a62d58832842294e2652d6c6586ff8dcc3be9bc05a3,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000056_t0001-868_jpg.rf.1cbf90fa3fcd5c8f127389875fbad6c4.jpg,4,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale""]",ant2,exported_dataset/train/images/ant2_frame_000056_t0001-868_jpg.rf.1cbf90fa3fcd5c8f127389875fbad6c4.jpg,exported_dataset/train/labels/ant2_frame_000056_t0001-868_jpg.rf.1cbf90fa3fcd5c8f127389875fbad6c4.txt,samples/ant2.mp4,1.868
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",medium_bridge_v2_to_ant2,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",4,70,"{""area_max"": 0.03918809523809524, ""area_median"": 0.026995238095238093, ""area_min"": 0.020780952380952372, ""count"": 4, ""height_median"": 0.14785714285714285, ""width_median"": 0.21833333333333332}",33d45ce8c811d39879bc0dac9827bd19fad486d0893573bc73fa8a949cf7044a,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000070_t0002-336_jpg.rf.a88dc47647063e77374898fb2970caa1.jpg,5d9033d6ec4e36f9b83f697b4eb450314f62e72716c2747fc303d7141358be4a,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000070_t0002-336_jpg.rf.a88dc47647063e77374898fb2970caa1.jpg,4,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale""]",ant2,exported_dataset/valid/images/ant2_frame_000070_t0002-336_jpg.rf.a88dc47647063e77374898fb2970caa1.jpg,exported_dataset/valid/labels/ant2_frame_000070_t0002-336_jpg.rf.a88dc47647063e77374898fb2970caa1.txt,samples/ant2.mp4,2.336
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",medium_bridge_v2_to_ant2,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",4,77,"{""area_max"": 0.09855, ""area_median"": 0.025107142857142856, ""area_min"": 0.0196, ""count"": 4, ""height_median"": 0.12714285714285714, ""width_median"": 0.1975}",fc8b31d1e646699c2226c7170417078d77f49655d54b1a6decbe9141d5dc34b7,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000077_t0002-569_jpg.rf.7b2f20ff6a5212929d96537e27b81523.jpg,fd5baf580b339b019cdf03f2f3c580d58b36261f31146b1ebd8d6887303cb01b,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000077_t0002-569_jpg.rf.7b2f20ff6a5212929d96537e27b81523.jpg,4,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale""]",ant2,exported_dataset/train/images/ant2_frame_000077_t0002-569_jpg.rf.7b2f20ff6a5212929d96537e27b81523.jpg,exported_dataset/train/labels/ant2_frame_000077_t0002-569_jpg.rf.7b2f20ff6a5212929d96537e27b81523.txt,samples/ant2.mp4,2.569
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",large_ge_ant2_median,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",4,91,"{""area_max"": 0.05726694214285715, ""area_median"": 0.0341047619047619, ""area_min"": 0.024733333333333336, ""count"": 4, ""height_median"": 0.14077857142857148, ""width_median"": 0.20833333333333331}",0c4003b7979d3e103ad13304d56b29d776054779d1926b5b55782ca9214fbe72,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000091_t0003-036_jpg.rf.44cd5d3798ae8d537b116d49fac4f52e.jpg,d51fe0e2e7c6a19d5d57514376047e832be91da2e0528c988723b92c6eebc9d5,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000091_t0003-036_jpg.rf.44cd5d3798ae8d537b116d49fac4f52e.jpg,4,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale""]",ant2,exported_dataset/train/images/ant2_frame_000091_t0003-036_jpg.rf.44cd5d3798ae8d537b116d49fac4f52e.jpg,exported_dataset/train/labels/ant2_frame_000091_t0003-036_jpg.rf.44cd5d3798ae8d537b116d49fac4f52e.txt,samples/ant2.mp4,3.036
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",medium_bridge_v2_to_ant2,"[""ant2"", ""container_context"", ""cotton_context"", ""large_workers"", ""own_colony"", ""queen_large"", ""substrate_context"", ""tight_relabel_required""]",4,98,"{""area_max"": 0.08723921095238099, ""area_median"": 0.02837778238095238, ""area_min"": 0.025333333333333333, ""count"": 4, ""height_median"": 0.16480714285714287, ""width_median"": 0.1972}",a40a6037bf2301e00812ad3a1bf1fc304ef4d1300a0d4e2a93db05cac682809c,700,datasets/ants_v3_annotation_pack/ant2/images/ant2_frame_000098_t0003-270_jpg.rf.68fc599f9ff29d6d0d6693b597aac668.jpg,9782db2b2cfa6acfac0df36896b2a4e0bc304ac96f6179c6fdb9bc8a7cfec942,600,Historical ant2 labels are reference metadata only and were not copied as FormicAI v3 ground truth.,ant2_frame_000098_t0003-270_jpg.rf.68fc599f9ff29d6d0d6693b597aac668.jpg,4,"[""temporal coverage"", ""own-colony close-up scale"", ""queen/large worker scale""]",ant2,exported_dataset/train/images/ant2_frame_000098_t0003-270_jpg.rf.68fc599f9ff29d6d0d6693b597aac668.jpg,exported_dataset/train/labels/ant2_frame_000098_t0003-270_jpg.rf.68fc599f9ff29d6d0d6693b597aac668.txt,samples/ant2.mp4,3.27
