pack_filename,antsnet_original_filename,image_path,original_classes,provisional_castes,provisional_species_tokens,queen_present,worker_present,major_minor_present,brood_present,multi_ant,bbox_scale_category,near_duplicate_family_id,selection_reason,estimated_adult_annotations,original_annotation_count,original_brood_annotation_count
PA050405_JPG.rf.b8e264074ef5eeba5936a4b80c14be14.jpg,PA050405_JPG.rf.b8e264074ef5eeba5936a4b80c14be14.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PA050405_JPG.rf.b8e264074ef5eeba5936a4b80c14be14.jpg,cocoon_camponotus_nicobarensis;larva_camponotus_nicobarensis;queen_camponotus_nicobarensis;worker_minor_camponotus_nicobarensis,brood;queen;worker_minor,camponotus;nicobarensis,True,True,True,True,True,large_ge_ant2_median,pa050405,41 labeled objects; adult ants and brood appear together; adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present; queen class present,17,41,24
P1011354-1-_JPG.rf.3860c0883c126647064bee7cdc133bac.jpg,P1011354-1-_JPG.rf.3860c0883c126647064bee7cdc133bac.jpg,datasets/ants_v3_annotation_pack/antsnet/images/P1011354-1-_JPG.rf.3860c0883c126647064bee7cdc133bac.jpg,Larva;larva_myrmica_rubra;pupa_myrmica_rubra;queen_myrmica_rubra,brood;queen,myrmica;rubra,True,True,False,True,True,large_ge_ant2_median,p1011354,13 labeled objects; adult ants and brood appear together; adult bbox area reaches/exceeds ant2 median scale; queen class present,2,13,11
P1011432_JPG.rf.8fdf006f1fd5a4f1b2edfaf8d46e0fd6.jpg,P1011432_JPG.rf.8fdf006f1fd5a4f1b2edfaf8d46e0fd6.jpg,datasets/ants_v3_annotation_pack/antsnet/images/P1011432_JPG.rf.8fdf006f1fd5a4f1b2edfaf8d46e0fd6.jpg,larva_myrmica_rubra;pupa_myrmica_rubra;queen_myrmica_rubra,brood;queen,myrmica;rubra,True,True,False,True,True,large_ge_ant2_median,p1011432,12 labeled objects; adult ants and brood appear together; adult bbox area reaches/exceeds ant2 median scale; queen class present,4,12,8
P1011358_JPG.rf.f2ef7ee49a456228d64a8a68b20351b6.jpg,P1011358_JPG.rf.f2ef7ee49a456228d64a8a68b20351b6.jpg,datasets/ants_v3_annotation_pack/antsnet/images/P1011358_JPG.rf.f2ef7ee49a456228d64a8a68b20351b6.jpg,larva_myrmica_rubra;pupa_myrmica_rubra;queen_myrmica_rubra,brood;queen,myrmica;rubra,True,True,False,True,True,large_ge_ant2_median,p1011358,16 labeled objects; adult ants and brood appear together; adult bbox area reaches/exceeds ant2 median scale; queen class present,3,16,13
IMG_8778_JPG.rf.8f1f1982e0a1c5c1112182e5bb2f3e7c.jpg,IMG_8778_JPG.rf.8f1f1982e0a1c5c1112182e5bb2f3e7c.jpg,datasets/ants_v3_annotation_pack/antsnet/images/IMG_8778_JPG.rf.8f1f1982e0a1c5c1112182e5bb2f3e7c.jpg,larva_tetramorium_immigrans;worker_tetramorium_immigrans,brood;worker,immigrans;tetramorium,False,True,False,True,True,large_ge_ant2_median,img,10 labeled objects; adult ants and brood appear together; adult bbox area reaches/exceeds ant2 median scale,4,10,6
IMG_8782_JPG.rf.5aadbb542764c2adb11cef9b04b12fc4.jpg,IMG_8782_JPG.rf.5aadbb542764c2adb11cef9b04b12fc4.jpg,datasets/ants_v3_annotation_pack/antsnet/images/IMG_8782_JPG.rf.5aadbb542764c2adb11cef9b04b12fc4.jpg,larva_tetramorium_immigrans;worker_tetramorium_immigrans,brood;worker,immigrans;tetramorium,False,True,False,True,True,large_ge_ant2_median,img,adult ants and brood appear together; adult bbox area reaches/exceeds ant2 median scale,2,3,1
P1011413_JPG.rf.9d8b46db3a9d852069d29a7feb460113.jpg,P1011413_JPG.rf.9d8b46db3a9d852069d29a7feb460113.jpg,datasets/ants_v3_annotation_pack/antsnet/images/P1011413_JPG.rf.9d8b46db3a9d852069d29a7feb460113.jpg,larva_myrmica_rubra,brood,myrmica;rubra,False,False,False,True,False,brood_or_no_adult_reference,p1011413,brood class present for negative-context review,0,1,1
ants-6_jpg.rf.7ea2a73a1d181bb18ec009bc12f6fb45.jpg,ants-6_jpg.rf.7ea2a73a1d181bb18ec009bc12f6fb45.jpg,datasets/ants_v3_annotation_pack/antsnet/images/ants-6_jpg.rf.7ea2a73a1d181bb18ec009bc12f6fb45.jpg,worker_major_pheidole_tysoni;worker_minor_pheidole_tysoni,worker_major;worker_minor,pheidole;tysoni,False,True,True,False,True,large_ge_ant2_median,ants,adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present,2,2,0
ants-4_jpg.rf.cd994df8482faf8fd8d47bae1b5774ca.jpg,ants-4_jpg.rf.cd994df8482faf8fd8d47bae1b5774ca.jpg,datasets/ants_v3_annotation_pack/antsnet/images/ants-4_jpg.rf.cd994df8482faf8fd8d47bae1b5774ca.jpg,worker_major_pheidole_tysoni;worker_minor_pheidole_tysoni,worker_major;worker_minor,pheidole;tysoni,False,True,True,False,True,large_ge_ant2_median,ants,adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present,2,2,0
PA281465_JPG.rf.64cd61dc57659cea67e535bef8fd1dcf.jpg,PA281465_JPG.rf.64cd61dc57659cea67e535bef8fd1dcf.jpg,datasets/ants_v3_annotation_pack/antsnet/images/PA281465_JPG.rf.64cd61dc57659cea67e535bef8fd1dcf.jpg,worker_minor_camponotus_nicobarensis,worker_minor,camponotus;nicobarensis,False,True,True,False,False,large_ge_ant2_median,pa281465,adult bbox area reaches/exceeds ant2 median scale; major/minor caste class present,1,1,0
