annotation_policy,candidate_use,distractors,empty_label_allowed_only_after_human_zero_ant_confirmation,frame_index,image_height,image_path,image_sha256,image_width,must_verify,pack_filename,possible_zero_label_negative,source,source_video,source_video_sha256,timestamp_seconds,verification_status
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,0,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_000000_t0000000ms.jpg,6ce8693b1040abf55c32a993f9dbe0433b68c5562c80a098ca9b41d4da496e91,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_000000_t0000000ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,0.0,UNVERIFIED
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,117,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_000117_t0001951ms.jpg,157c4338178c1881950f38b4e6b334282c19ddd02918b129b3006e72a0c1e8ac,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_000117_t0001951ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,1.9507671307037895,UNVERIFIED
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,235,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_000235_t0003918ms.jpg,515276fd2920d04a3d6f7aed0f0c9e1b6a8d35faf9add5c751db91a46375fccb,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_000235_t0003918ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,3.9182074847469277,UNVERIFIED
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,352,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_000352_t0005869ms.jpg,64ce3a60a26247ac25878b377a9f37a808ca01db2936188a201ef915c7db34f9,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_000352_t0005869ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,5.868974615450718,UNVERIFIED
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,470,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_000470_t0007836ms.jpg,294253837826bb30b709f76a83d39cd3793a6ba9db1bb5e76e0af0da4c8124c8,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_000470_t0007836ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,7.836414969493855,UNVERIFIED
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,587,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_000587_t0009787ms.jpg,e887def77e5ba80cc01b1c8aa9c2c97887ab7e16a5bddb06ca62b3ca08dddf44,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_000587_t0009787ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,9.787182100197645,UNVERIFIED
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,705,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_000705_t0011755ms.jpg,ef1696b16cbcc36e1e62e2253d3440af7124c855b3f2f457e44cab42d2d8fd18,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_000705_t0011755ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,11.754622454240783,UNVERIFIED
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,822,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_000822_t0013705ms.jpg,d76f4a0ee40e596bf472c32f0ea132d665bda1f7d04ba6920226ab1a199a30fb,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_000822_t0013705ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,13.705389584944573,UNVERIFIED
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,940,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_000940_t0015673ms.jpg,b7761e43ddb8178a0604f90f8bc5cc44a3948e78046830b9d40fd1e91e583dde,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_000940_t0015673ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,15.67282993898771,UNVERIFIED
"{""adult_ant_positive"": [""queen"", ""worker"", ""major"", ""minor"", ""replete""], ""box_policy"": ""one physical adult ant = one tight visible body box around head + thorax + abdomen; no intentional leg/antenna-tip padding; overlapping boxes allowed"", ""class_mapping"": {""0"": ""ant""}, ""forbidden"": [""training"", ""pseudo-labeling"", ""copying historical ant2 labels as new FormicAI ground truth"", ""remapping AntsNet labels automatically"", ""declaring hard negatives before full-resolution human zero-ant verification""], ""not_ant"": [""brood"", ""food"", ""cotton"", ""substrate"", ""reflection""]}",hard_negative_after_manual_zero-ant verification,"[""substrate"", ""rocks"", ""cotton"", ""plastic tube"", ""glare/reflections"", ""nest/container edges""]",True,1057,1920,datasets/ants_v3_annotation_pack/hard_negatives/images/nest_test_001_frame_001057_t0017624ms.jpg,062fb6e96909b4037640046287baeb8061417fd1aae32c7933578ce69c87b9ed,1080,Only use as zero-label image if no identifiable ant is visible in the full-resolution frame.,nest_test_001_frame_001057_t0017624ms.jpg,True,nest_test_001,samples/nest_test_001.mp4,85b12404b0d51569b0f5553a84f30b1ffa0e7a8b427fd9d570676c4dea41f6b6,17.623597069691503,UNVERIFIED
